<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
3B01,"（対象局番：01局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B02,"（対象局番：02局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B03,"（対象局番：03局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B04,"（対象局番：04局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B05,"（対象局番：05局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B06,"（対象局番：06局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B07,"（対象局番：07局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B08,"（対象局番：08局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B09,"（対象局番：09局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0A,"（対象局番：10局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0B,"（対象局番：11局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0C,"（対象局番：12局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0D,"（対象局番：13局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0E,"（対象局番：14局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B0F,"（対象局番：15局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B10,"（対象局番：16局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B11,"（対象局番：17局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B12,"（対象局番：18局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B13,"（対象局番：19局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B14,"（対象局番：20局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B15,"（対象局番：21局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B16,"（対象局番：22局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B17,"（対象局番：23局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B18,"（対象局番：24局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B19,"（対象局番：25局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1A,"（対象局番：26局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1B,"（対象局番：27局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1C,"（対象局番：28局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1D,"（対象局番：29局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1E,"（対象局番：30局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B1F,"（対象局番：31局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B20,"（対象局番：32局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B21,"（対象局番：33局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B22,"（対象局番：34局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B23,"（対象局番：35局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B24,"（対象局番：36局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B25,"（対象局番：37局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B26,"（対象局番：38局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B27,"（対象局番：39局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B28,"（対象局番：40局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B29,"（対象局番：41局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2A,"（対象局番：42局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2B,"（対象局番：43局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2C,"（対象局番：44局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2D,"（対象局番：45局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2E,"（対象局番：46局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B2F,"（対象局番：47局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B30,"（対象局番：48局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B31,"（対象局番：49局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B32,"（対象局番：50局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B33,"（対象局番：51局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B34,"（対象局番：52局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B35,"（対象局番：53局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B36,"（対象局番：54局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B37,"（対象局番：55局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B38,"（対象局番：56局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B39,"（対象局番：57局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3A,"（対象局番：58局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3B,"（対象局番：59局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3C,"（対象局番：60局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3D,"（対象局番：61局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3E,"（対象局番：62局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
3B3F,"（対象局番：63局）
パラメータ中に，同じ局番(MAC ID)を2つ以上検出した。","・パラメータ中に同じ局番を持つスレーブ局が
  2つ以上設定されているので，局番を正しく修正する。
・自局番と同じ局番のスレーブ局がパラメータ中に存在する。"
4700,"（対象局番：00局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4701,"（対象局番：01局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4702,"（対象局番：02局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4703,"（対象局番：03局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4704,"（対象局番：04局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4705,"（対象局番：05局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4706,"（対象局番：06局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4707,"（対象局番：07局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4708,"（対象局番：08局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4709,"（対象局番：09局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470A,"（対象局番：10局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470B,"（対象局番：11局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470C,"（対象局番：12局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470D,"（対象局番：13局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470E,"（対象局番：14局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
470F,"（対象局番：15局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4710,"（対象局番：16局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4711,"（対象局番：17局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4712,"（対象局番：18局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4713,"（対象局番：19局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4714,"（対象局番：20局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4715,"（対象局番：21局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4716,"（対象局番：22局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4717,"（対象局番：23局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4718,"（対象局番：24局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4719,"（対象局番：25局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471A,"（対象局番：26局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471B,"（対象局番：27局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471C,"（対象局番：28局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471D,"（対象局番：29局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471E,"（対象局番：30局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
471F,"（対象局番：31局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4720,"（対象局番：32局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4721,"（対象局番：33局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4722,"（対象局番：34局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4723,"（対象局番：35局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4724,"（対象局番：36局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4725,"（対象局番：37局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4726,"（対象局番：38局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4727,"（対象局番：39局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4728,"（対象局番：40局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4729,"（対象局番：41局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472A,"（対象局番：42局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472B,"（対象局番：43局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472C,"（対象局番：44局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472D,"（対象局番：45局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472E,"（対象局番：46局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
472F,"（対象局番：47局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4730,"（対象局番：48局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4731,"（対象局番：49局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4732,"（対象局番：50局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4733,"（対象局番：51局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4734,"（対象局番：52局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4735,"（対象局番：53局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4736,"（対象局番：54局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4737,"（対象局番：55局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4738,"（対象局番：56局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
4739,"（対象局番：57局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473A,"（対象局番：58局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473B,"（対象局番：59局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473C,"（対象局番：60局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473D,"（対象局番：61局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473E,"（対象局番：62局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
473F,"（対象局番：63局）
不正なコネクションタイプが指定されている。","・コネクションタイプの値が正しいか調べる。
・通信エラー情報を読み出し，その情報に従い対策する。"
8000,"（対象局番：00局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8001,"（対象局番：01局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8002,"（対象局番：02局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8003,"（対象局番：03局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8004,"（対象局番：04局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8005,"（対象局番：05局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8006,"（対象局番：06局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8007,"（対象局番：07局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8008,"（対象局番：08局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
8009,"（対象局番：09局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
800A,"（対象局番：10局）
スレーブ機能のポーリングコネクションがタイムアウトした。","・終端抵抗が外れていないかなど，
  ネットワークとスレーブ局の状態を調べる。
・マスタ局の状態を調べる。"
