<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"The node No. (MAC ID) value is out of range.
The mode switch value is out of range.","Set the node No. within the range of 0 to 63.
Set the mode switch to any other than D to F."
2D2E,"(The node No.46)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D2F,"(The node No.47)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D30,"(The node No.48)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D31,"(The node No.49)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D32,"(The node No.50)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D33,"(The node No.51)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D34,"(The node No.52)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D35,"(The node No.53)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D36,"(The node No.54)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D37,"(The node No.55)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D38,"(The node No.56)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D39,"(The node No.57)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3A,"(The node No.58)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3B,"(The node No.59)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3C,"(The node No.60)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3D,"(The node No.61)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3E,"(The node No.62)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2D3F,"(The node No.63)
When a polling response was divided into several data blocks, the second data block or later was received before the first one.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
3B00,"(The node No.00)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B01,"(The node No.01)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B02,"(The node No.02)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B03,"(The node No.03)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B04,"(The node No.04)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B05,"(The node No.05)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B06,"(The node No.06)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B07,"(The node No.07)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B08,"(The node No.08)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B09,"(The node No.09)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0A,"(The node No.10)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0B,"(The node No.11)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0C,"(The node No.12)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0D,"(The node No.13)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0E,"(The node No.14)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B0F,"(The node No.15)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B10,"(The node No.16)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B11,"(The node No.17)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B12,"(The node No.18)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B13,"(The node No.19)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B14,"(The node No.20)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B15,"(The node No.21)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B16,"(The node No.22)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B17,"(The node No.23)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B18,"(The node No.24)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B19,"(The node No.25)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1A,"(The node No.26)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1B,"(The node No.27)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1C,"(The node No.28)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1D,"(The node No.29)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1E,"(The node No.30)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B1F,"(The node No.31)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B20,"(The node No.32)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B21,"(The node No.33)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B22,"(The node No.34)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B23,"(The node No.35)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B24,"(The node No.36)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B25,"(The node No.37)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B26,"(The node No.38)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B27,"(The node No.39)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B28,"(The node No.40)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B29,"(The node No.41)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2A,"(The node No.42)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2B,"(The node No.43)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2C,"(The node No.44)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2D,"(The node No.45)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2E,"(The node No.46)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B2F,"(The node No.47)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B30,"(The node No.48)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B31,"(The node No.49)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B32,"(The node No.50)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B33,"(The node No.51)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B34,"(The node No.52)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B35,"(The node No.53)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B36,"(The node No.54)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B37,"(The node No.55)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B38,"(The node No.56)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B39,"(The node No.57)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3A,"(The node No.58)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3B,"(The node No.59)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3C,"(The node No.60)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3D,"(The node No.61)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3E,"(The node No.62)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
3B3F,"(The node No.63)
Two or more identical node numbers (MAC IDs) were detected in parameters.","The same node No. is set for two or more slave nodes. Correct the duplicated parameter settings.
A slave node having the same node No. as that of this node exists in the parameters."
4700,"(The node No.00)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4701,"(The node No.01)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4702,"(The node No.02)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4703,"(The node No.03)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4704,"(The node No.04)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4705,"(The node No.05)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4706,"(The node No.06)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4707,"(The node No.07)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4708,"(The node No.08)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4709,"(The node No.09)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470A,"(The node No.10)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470B,"(The node No.11)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470C,"(The node No.12)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470D,"(The node No.13)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470E,"(The node No.14)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
470F,"(The node No.15)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4710,"(The node No.16)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4711,"(The node No.17)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4712,"(The node No.18)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4713,"(The node No.19)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4714,"(The node No.20)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4715,"(The node No.21)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4716,"(The node No.22)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4717,"(The node No.23)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4718,"(The node No.24)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4719,"(The node No.25)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471A,"(The node No.26)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471B,"(The node No.27)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471C,"(The node No.28)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471D,"(The node No.29)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471E,"(The node No.30)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
471F,"(The node No.31)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4720,"(The node No.32)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4721,"(The node No.33)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4722,"(The node No.34)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4723,"(The node No.35)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4724,"(The node No.36)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4725,"(The node No.37)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4726,"(The node No.38)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4727,"(The node No.39)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4728,"(The node No.40)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4729,"(The node No.41)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472A,"(The node No.42)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472B,"(The node No.43)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472C,"(The node No.44)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472D,"(The node No.45)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472E,"(The node No.46)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
472F,"(The node No.47)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4730,"(The node No.48)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4731,"(The node No.49)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4732,"(The node No.50)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4733,"(The node No.51)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4734,"(The node No.52)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4735,"(The node No.53)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4736,"(The node No.54)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4737,"(The node No.55)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4738,"(The node No.56)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
4739,"(The node No.57)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473A,"(The node No.58)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473B,"(The node No.59)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473C,"(The node No.60)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473D,"(The node No.61)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473E,"(The node No.62)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
473F,"(The node No.63)
Incorrect connection type was specified.","Check if the connection type value is correct.
Read the communication error information, and take appropriate actions."
8000,"(The node No.00)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8001,"(The node No.01)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8002,"(The node No.02)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8003,"(The node No.03)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8004,"(The node No.04)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8005,"(The node No.05)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8006,"(The node No.06)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8007,"(The node No.07)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8008,"(The node No.08)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8009,"(The node No.09)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800A,"(The node No.10)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800B,"(The node No.11)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800C,"(The node No.12)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800D,"(The node No.13)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800E,"(The node No.14)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
800F,"(The node No.15)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8010,"(The node No.16)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8011,"(The node No.17)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8012,"(The node No.18)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8013,"(The node No.19)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8014,"(The node No.20)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8015,"(The node No.21)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8016,"(The node No.22)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8017,"(The node No.23)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8018,"(The node No.24)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8019,"(The node No.25)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801A,"(The node No.26)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801B,"(The node No.27)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801C,"(The node No.28)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801D,"(The node No.29)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801E,"(The node No.30)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
801F,"(The node No.31)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8020,"(The node No.32)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8021,"(The node No.33)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8022,"(The node No.34)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8023,"(The node No.35)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8024,"(The node No.36)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8025,"(The node No.37)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8026,"(The node No.38)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8027,"(The node No.39)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8028,"(The node No.40)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
8029,"(The node No.41)
The polling connection in the slave function has timed out.","Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
Check the master node status."
